text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
"The Tories will keep spinning, trying to find an acceptable figurehead as they work to cash in on the intensifying crisis.  The role of their government is largely to be a face for capital, not its manager.  https--//t.co/zioHU8obIL",No,Yes,No,73,30,No,,,,81,84,29,Woman,49,No,85
"@_DMclynn @GeraldKutney Says who? Please explain how ruining our economies or making food production more difficult will change hurricane intensity, and by how much.",No,No,,,,No,,,,,,29,Woman,49,No,85
"@HTT64415574 We understand your concern. We see that our team has addressed your concern via email and the information has been provided on the issue raised. If there's anything else that you'd like us to help with, please let us know. ^DW https--//t.co/5DoqNu396t",No,No,,,,No,,,,,,29,Woman,49,No,85
"Clean Water Act at 50-- environmental gains, challenges unmet https--//t.co/r0EYQGVj9x",No,No,,,,No,,,,,,29,Woman,49,No,85
"@Rachel_Solomon7 That’s where most of us are, and I don’t think groups that exclude “Zionists” even understand the word.  There’s nothing inconsistent with humanitarian concerns or any future Palestinian state. That could, and should, have happened a long time ago.",No,No,,,,No,,,,,,29,Woman,49,No,85
@SierraSmith84 Wasn't afraid of all of these so-called viruses are variance I'm still alive unvaccident unboosted so are my kids we will never get another vaccine as long as we live,No,No,,,,No,,,,,,70,Woman,40,Yes,86
"@BrizzyVoices Unfortunately not married, I always feel guilty asking people for help so asking someone else to care for me makes my anxiety spin",No,No,,,,No,,,,,,70,Woman,40,Yes,86
"@KaylaPekkala My grandpa was on hospice. He wanted a beer, but my aunt said with all the meds he was on, it might kill him. I just stared at her and gestured like ""and...?"" He died two weeks later. I should've snuck him a beer.",No,Yes,No,10,90,No,,,,90,90,70,Woman,40,Yes,86
"@DeadStretch @LisaLuchetti1 @of_caution @mmpadellan a whip is not a common tool....fucking hell.  In fact, I'd bet it's not even in the top 10.  But go on...",No,No,,,,No,,,,,,70,Woman,40,Yes,86
@GeorgeTakei Trump is not Antisemitic. Your #Propaghanda is almost as bad as your other misleading accusations.,No,No,,,,No,,,,,,70,Woman,40,Yes,86
@laurenboebert But what about AOC’s three ✅’s. The people of Colorado’s 3rd notice you cannot dispute any of her contentions because they are all true. You do not deserve another chance to let us down!,No,No,,,,No,,,,,,70,Woman,40,Yes,86
@Roman_Trading ApeSport-- 2022's Hottest Presale | Our Last Token >$1B MC | Monster Partners | Presale-- Coming soon | Join us-- https--//t.co/h1WeDW9H33 | #ERC20 #Ethereum #Uniswap #Binance #nft #NFTdrop #Crypto #nfts #APE #APESPORT g,Yes,No,,,,No,,,,,,70,Woman,40,Yes,86
"Presbyterian's shift to for-profit ER firm to fill shortfall raises concerns. Presbyterian SF Medical Center is poised to hire a private equity group to manage its emergency room physicians, a decision that concerns some doctors. https--//t.co/Q4Gt8r5tAc https--//t.co/BWJ3fsD6UA https--//t.co/V3H3guxctW",No,No,,,,Yes,No,97,96,92,94,70,Woman,40,Yes,86
"Love is the most difficult thing i  #推特账号 #推特账号购买 AS   er IE R I Ln thefaithfulyoursel,ive eamesty a  #推特账号 #推特账号购买 AS   er IE R I Lnd lsugh freel  Q https--//t.co/Wq3RE2ashy",Yes,No,,,,No,,,,,,70,Woman,40,Yes,86
@Dwabaman_ZA @Gorba_G8 @kabelomolekwa6 these 2 think  their  Xbox tactics are the same in real football that's why they ba nale anger so🤣😂🤣😂🤣 https--//t.co/D6ML6ImPWq,No,No,,,,No,,,,,,30,Woman,24,No,87
@DefiyantlyFree @ShawnG927 Do they forget The Day of God's vengeance when he will hold those accountable who persecuted&killed the Jews?  Only satan comes to kill steal&destroy&today you see his following suit but soon it's prophesied we will see our enemy burn as ashes under our feet!  #Pray they repent! https--//t.co/at7Th4sV1c,No,No,,,,Yes,No,100,31,96,92,30,Woman,24,No,87
also trying to avoid eye contact w the transfer info booth man who wants to ask me questions and hand me things,No,No,,,,No,,,,,,30,Woman,24,No,87
"FretYou'll get positive anger that is true, but first I https--//t.co/hrCbRF1HGm",No,No,,,,No,,,,,,30,Woman,24,No,87
@JohnBrewin_ You and Rehman is in danger of becoming like Baz and Ethan Pinnock.. https--//t.co/j0LmqcqZ9P,No,No,,,,No,,,,,,30,Woman,24,No,87
"@2ndProtects1st Lies and you know it. Also, see Covid deaths. Asking for 1 million dead.",No,No,,,,No,,,,,,30,Woman,24,No,87
"@ByAnyMeansb1 @RashardJackson6 @FreedomRings34 @RockyBakari @ArrogantNBlack @NikkiBarnesFL “A group in Wisconsin claims President Biden’s plan to cancel up to $20,000 in student loan debt violates federal law by intentionally seeking to narrow the racial wealth gap and help Black borrowers.”",No,No,,,,Yes,Yes,52,59,79,61,30,Woman,24,No,87
"Also, the idea of subtle trancing is rather hot. Consensual of course. but planting thoughts here and there making them believe they were thinking that. casually changing their thoughts with simple triggers. aware its happening but somehow not conscious of it as they slowly slip.",No,No,,,,No,,,,,,30,Woman,24,No,87
$lrc Top analyst price target for next week..    https--//t.co/b3SoBoEQqv,Yes,No,,,,No,,,,,,30,Woman,24,No,87
People really can’t wait to destroy a black man. That’s what I’m seeing. @noreaga we love you brotha https--//t.co/3wkdnFW0l5,No,Yes,No,50,49,No,,,,62,64,30,Woman,24,No,87
"To die, to be really dead, that must be glorious! Why, Count Dracula! There are far worse things awaiting man than death.",No,No,,,,No,,,,,,0,Man,48,No,88
"@peacemomma67 @airforcepam @kelly_kbertram4 @airforcevet43 @TheSGTJoker I know. 7 decades and I've never seen so much stupidity, rage, anger & fear. It sucks. But sista, WE ARE WARRIORS!!! 💙🌊💙🌊💙🌊💙🌊💙🌊💙",No,Yes,No,100,81,Yes,No,100,93,100,100,0,Man,48,No,88
"@DavidSacks @theallinpod You were 100%. If you truly believe the war would have been averted by a statement like that you are mad, and starting off by making concessions would only have shown concessions were on offer. Also, just because people don't like you doesn't mean you're ""making a difference.""",No,Yes,No,100,100,No,,,,0,100,0,Man,48,No,88
$ENPH Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,No,Yes,No,30,0,No,,,,0,100,0,Man,48,No,88
"When I scroll down my timeline and all I see is the people’s anger towards their corrupt politicians, that gives me hope.",Yes,No,,,,Yes,Yes,100,100,80,100,0,Man,48,No,88
@ninaturner Please explain what caused it then.,No,No,,,,Yes,Yes,100,100,100,100,0,Man,48,No,88
"@stevesnr50 Respect your view there , at this point you can't keep putting in unelected pms , and the situation it's becoming farcical at best , truss is a disaster and needs to step down put penny in as pm , JH stays as cx and go to the country with a mandate , as of now it's a shot show",No,No,,,,No,,,,,,0,Man,48,No,88
$gmt  ALL THESE LEVELS POSTED AHEAD OF TIME BEFORE THE MARKET OPENED..>> 🔗https--//t.co/hAVBalQhxK,No,Yes,Yes,100,100,Yes,Yes,100,66,100,100,0,Man,48,No,88
"@Bayoposting clever on cropping the flag tweet. The reason she had tears is because the boy in the picture was doing it for his mom, who was a cop, who died on the frontline. Nothing to do with blue lives protests.",Yes,No,,,,No,,,,,,0,Man,48,No,88
"@TRyanGregory After 2 years and 8 months I'm bloody exhausted. The sequelae are showing their devastating potential for quite a while, having the potential to overcome even world wars on workforce, trauma and world development itself. BUT FREEDUM, I WANNA BURNING MAN MASKLESS! Then burn, cunt.",Yes,Yes,Yes,70,62,Yes,Yes,68,68,71,70,51,Man,33,Yes,89
@drvyom I hear Big Pharma pays well.  Why wouldn't you want these accusations investigated 🤔,Yes,Yes,Yes,37,50,Yes,Yes,53,60,49,53,51,Man,33,Yes,89
"@GOGcom @scorn_game @POPeART_ @Kepler_Interact Back in the day wen I was a kid Resident Evil 3, the clock tower I don't really now why it really make me cry of anger and the moment that the Nemesis jump scared me on the police station",Yes,Yes,Yes,29,28,Yes,Yes,37,51,63,50,51,Man,33,Yes,89
"@SociopathFan @DrumpfFree @nytimes The only stupid one is you, here's a fact check on who actually started wars.. as well as conflicts. Spoiler-- both parties have done it, but a RED one does it more. https--//t.co/HHjgpHix50",Yes,Yes,Yes,37,28,Yes,No,26,17,26,41,51,Man,33,Yes,89
"""[Lawsuit blames] store employee’s failure to follow the '60/40 rule' for loading trailers"" via @kennethlipp https--//t.co/SFd2qJzyTz…  I wonder if ODOT's US-20 will factor in the lawsuit. Bus transit's much too infrequent & wide lanes are designed for speed & no bicycle lanes https--//t.co/Ou76RbIlPX",Yes,Yes,Yes,40,38,Yes,Yes,34,39,51,55,51,Man,33,Yes,89
"The prince implied that the rumors were the work of Washington, where the administration of US President Joe Biden reacted with shock to Saudi Arabia’s recent push for an oil production cut.  “We are astonished by the accusations",Yes,Yes,Yes,58,58,Yes,Yes,47,65,60,56,51,Man,33,Yes,89
"@swellGGs swell no! you've integrated milf into its own acronym! generating a loop of infinitely nested milfs, ever expanding  with vanishingly small space until the memory overflows and the computer crashes",Yes,Yes,Yes,35,60,Yes,Yes,70,85,63,41,51,Man,33,Yes,89
@Beany_1 Hate/anger,Yes,Yes,No,20,7,No,,,,18,29,51,Man,33,Yes,89
"@N76247476Man and its not Bobert's place to report to the owner.. she should have called the cops though and filed a police report, then filed a civil suit for damages, then petition the county DA charge the owners for harboring a dangerous animal and negligently allowing it to roam free.",Yes,Yes,Yes,49,73,Yes,Yes,38,58,57,43,51,Man,33,Yes,89
"@SamCoatesSky Im not sure a bloke who gave a PPE contract to his pub landlord, is a man to call on in a financial crisis",Yes,Yes,Yes,74,81,Yes,Yes,87,80,72,55,51,Man,33,Yes,89
I wish you success in managing a medical concern. It can be daunting trying to optimize novel treat8. https--//t.co/QVWSKZZ49G,No,No,,,,Yes,Yes,82,81,85,60,100,Man,33,Yes,90
@BrianEskow I don’t think about it. Not my area of expertise and I don’t have to help anyone through those difficult decisions.,Yes,Yes,Yes,82,81,No,,,,61,59,100,Man,33,Yes,90
"@DaintyNugs Hey, thank you for reaching out <3 I can get you access to our private creator network on discord where we put out a tonne of brand deals daily ,  You can enroll using the form https--//t.co/8PAJDbmJ1x  lmk if you need any help --)",Yes,No,,,,No,,,,,,100,Man,33,Yes,90
And El Salvador’s bitcoin debacle,No,No,,,,No,,,,,,100,Man,33,Yes,90
$DOCN Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/6Zcay8h2VH,No,No,,,,No,,,,,,100,Man,33,Yes,90
$KGN Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,Yes,Yes,Yes,73,75,No,,,,75,76,100,Man,33,Yes,90
@SandwellSkidder @UKLabour @fisher_cllr @rhistorerwrites @DarrylMagher @Keir_Starmer @eldiablo0786 @SandwellTories @SandwellLibDems He needs to put this in writing and send you a copy and publish the apology online.  It's not going to happen though. I'm sure he has been advised by Sandwell Legal Department and the Director of Democracy at SMBC.,Yes,Yes,Yes,81,81,Yes,Yes,81,86,74,60,100,Man,33,Yes,90
@Himself132 Political death by a thousand cuts.,No,No,,,,No,,,,,,100,Man,33,Yes,90
@CHRlStweet I'm here for the chaos,No,No,,,,No,,,,,,100,Man,33,Yes,90
$TTD Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/6Zcay8h2VH,Yes,No,,,,No,,,,,,100,Man,33,Yes,90
"Dark scenery. devil, and you're being afraid of https--//t.co/9tAdE0fUNr",Yes,Yes,Yes,69,60,Yes,Yes,72,55,70,59,87,Woman,39,Yes,91
"@Futurical We r in our way bro don't worry we can make it soon and say chaos to #au,#us,#un,#eu and their fellows like #martinplaut, #samantapower and others",Yes,Yes,Yes,58,74,Yes,Yes,61,52,55,65,87,Woman,39,Yes,91
"@MGrimnasty He does more than offer advice that we can take or leave. He's massively influential and joined in with the bad mouthing of Corbyn if you're not aware. He could use his influence to help now by joining in with the calls for nationalisation of energy, he won't because he's a Tory.",Yes,Yes,Yes,58,56,Yes,Yes,56,71,61,50,87,Woman,39,Yes,91
Are genuine Wolf in Death of https--//t.co/XjofWvYHFx,Yes,Yes,Yes,51,67,Yes,Yes,70,55,59,73,87,Woman,39,Yes,91
Very important. I had to ensure I read my company’s NDA wrt to social media so as to avoid stories that touch. I haven’t taken one single picture in that office since I resumed there. https--//t.co/ptsF8Ix8sa,Yes,Yes,Yes,55,64,Yes,Yes,66,49,62,87,87,Woman,39,Yes,91
"@MiMagaWatch @Tori_Sachs @MIGOP Christian discipleship in action. Power, Control, abuse and silent when it comes to victims. American Christianity is toxic and dangerous.",Yes,Yes,Yes,58,75,Yes,Yes,63,50,71,52,87,Woman,39,Yes,91
$AGG Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,Yes,Yes,Yes,62,51,Yes,Yes,62,41,72,52,87,Woman,39,Yes,91
@openDemocracy Men running rape crisis centre is the real scandal,Yes,Yes,Yes,58,46,Yes,Yes,60,53,60,47,87,Woman,39,Yes,91
"@TheSphereHunter I just can't imagine the actual use of that IRL. What infantry unit runs into the middle of an enemy fortification and just goes, ""spread fire mode activate!"" He's more likely to get gunned down getting into position.",Yes,Yes,Yes,67,50,Yes,Yes,62,49,58,76,87,Woman,39,Yes,91
"FretYou'll get positive anger that is true, but first I https--//t.co/KRDX5LlbRF",Yes,Yes,Yes,64,87,Yes,Yes,63,78,56,72,87,Woman,39,Yes,91
@notarealmark Cos under no circumstances should I be dressing like this🥹and imma make sure,No,No,,,,No,,,,,,81,Man,69,No,92
@NathanE11 Some of this is driven by the punt debacle which gets counted as a run play bc he didn't get the punt off. It looks a bit different when tossing that out,No,Yes,Yes,100,90,No,,,,100,100,81,Man,69,No,92
@K2Kav The chaos of this episode keeps leaving things overlooked. You’re right. Filed these kids teeth to points 😰 wild https--//t.co/R28puhJlz3,No,Yes,No,60,98,Yes,Yes,60,85,0,8,81,Man,69,No,92
"@Douglas4Moray Why is there a cost of living crisis, Douglas? Answer quickly.",No,Yes,No,100,50,No,,,,0,100,81,Man,69,No,92
@shawrtyfarty also of us on brink of death,No,Yes,No,100,0,No,,,,0,100,81,Man,69,No,92
"@ClayTravis Boo hiss!  Well, Alabama was its own worst enemy on Saturday and it cost them! Oh well, there’s always next time!",No,Yes,No,95,60,No,,,,72,28,81,Man,69,No,92
"@gorgeossa Hi, @gorgeossa. You've got our attention. Let's review your concern. Kindly send us a private message through this link https--//t.co/ADB9H9Yg8K with your account number or service request reference number for further assistance. Thank you.",Yes,Yes,No,82,50,No,,,,95,5,81,Man,69,No,92
@MochiHashira I have discord,No,No,,,,No,,,,,,81,Man,69,No,92
nothing more perfectly encapsulating fb's strategy disaster than having a bunch of finance office people sit in one room with VR headsets _that do not require them to be in the same space_ to watch a remote event.,No,Yes,No,87,0,No,,,,8,91,81,Man,69,No,92
@monigarded The games couldn’t handle that level of chaos 😅,No,Yes,No,60,0,No,,,,0,100,81,Man,69,No,92
"Hff… you’re going to be a real danger.  …  . . . it c-can’t be helped. Uhm.. .. a, uh, a little help with my shorts, please..? https--//t.co/enRdIpOElw",Yes,Yes,Yes,71,76,No,,,,71,70,100,Man,34,Yes,93
"Love this-- ""We’re living through an epidemic of certainty"" https--//t.co/OVqyvbvyic",No,No,,,,No,,,,,,100,Man,34,Yes,93
TOP 10 NFT TOKENS BY PRICE PERFORMANCE 24H https--//t.co/a0PYshZqXH $FEAR  $VEE  $URQA  $XMON  $DOGE https--//t.co/KwUoGMwLrg,Yes,No,,,,No,,,,,,100,Man,34,Yes,93
"@Tom_Winter @annaschecter @JuliaEAinsley @NBCNews What is your problem. It was a once-in-a-lifetime privilege for these agents to stay at Trump's moldy, nasty, out-of-code, rodent infested Trump properties, overpriced  Joy Reid, 'Rust, mold, parasites-- Trump's Mar-a-Lago cited for 78 health violations' https--//t.co/qweJPnR20G",No,No,,,,No,,,,,,100,Man,34,Yes,93
@flipkartsupport 118 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,Yes,No,,,,No,,,,,,100,Man,34,Yes,93
"@theBKbelle Yup. The danger of seeing certain kinds of work as a calling/passion/dream really opens us up to lower pay for higher workloads, fewer benefits and so on. It’s kind of sad that it should be so but...",No,No,,,,No,,,,,,100,Man,34,Yes,93
"Ukraine ECHO update  As of 17 October morning, Russian forces have reportedly attacked Kyiv four times with “kamikaze” drones, according to Ukrainian officials. It comes after Russia targeted civilian and critical infrastructure in deadly attacks across…https--//t.co/cWn6dy0LL6",Yes,No,,,,No,,,,,,100,Man,34,Yes,93
I couldn't do my usual complaints about Akechi offing Okumura with this cast I'd be inclined to think RDJ was in the right https--//t.co/XE4UYzW0nA,No,No,,,,No,,,,,,100,Man,34,Yes,93
"@Daniel428 Same as always. Just came on to see if there was any good news. You know, like someone is actually arrested & charged for trying to destroy our country. That's the main thing that keeps me coming back here. Otherwise, I can do without all the bs. I'm so exhausted with everything",Yes,Yes,Yes,85,86,No,,,,74,71,100,Man,34,Yes,93
"@RebelNewsOnline I didn't see Ford or #BlackfaceTurdo exercise ""zero tolerance"" when BLM were burning down thousands of building and causing $$$BILLIONSS$$$ in property damage in 2020 and 2021.",Yes,No,,,,No,,,,,,100,Man,34,Yes,93
"just got banned from a Discord server for linking https--//t.co/IUecOgFRZD because it had ""discord-nitro"" in the URL lol",No,No,,,,No,,,,,,40,Man,39,No,94
@Amonfane @ksatnews Doesnt sound like a good group at all. What good group has murderers in its ranks? Theyve shot up 3 unnarmed men in not even 2 months2 of them died. Theyre the worst of us,No,Yes,No,100,50,No,,,,50,60,40,Man,39,No,94
@JoeBiden Stop lying fake 46 true patriotic Americans are aware of your pathetic lies and BULLSHIT!!! FJB,No,No,,,,No,,,,,,40,Man,39,No,94
The cost of living crisis is a mental health emergency. I’m supporting this @MindCharity petition calling on the UK government to raise benefits at least in line with inflation right now. Will you join me?  https--//t.co/Pfss2fr2HG,No,Yes,Yes,86,76,No,,,,0,100,40,Man,39,No,94
This should be built into the @Twitch interface @TwitchSupport   I would definitely consider experimenting with mid-roll ads on my channel again to see if it decreases complaints if I had easy access to this feature https--//t.co/76rI3ZKd2Q,No,No,,,,Yes,No,70,50,0,67,40,Man,39,No,94
"I could not believe that I'll be adding names to my hate list so soon. Been 7 years to last entry. As I engraved the troika I channeled all the anger, hatred and negativity to the edge of my blade and through it into the wooden tablet that ""is"" the list. #Dracarys MOFOs",No,No,,,,No,,,,,,40,Man,39,No,94
"Emmanuel, a TikTok-famous emu, has avian flu after a deadly outbreak on a Florida farm https--//t.co/JiKKSnbAMT",No,Yes,No,90,50,No,,,,0,91,40,Man,39,No,94
@JamesAWhitehead @treychef @mitchelmoles01 He tried to kill a fellow driver with a car nothing to do with black or white that u can be brought up on charges of attempted murder with a dangerous https--//t.co/Mw4G2RpwPb might have been in the heat of the moment but no excuse. Fight with him after the race but ur car,No,Yes,No,100,50,No,,,,100,50,40,Man,39,No,94
@atrupar Check her Bitcoin account. Paid chaos agent for Putin is my guess.,No,No,,,,No,,,,,,40,Man,39,No,94
@bcndp KNOWS THIS! I am convinced their plan is to keep people in the dark about “personal responsibility”.Under reporting is the goal!Public health isn’t much of a concern. More will die.More will get long covid.BonnieHenry will keep racking up fake awards.#BCNDPBanalityOfEvil https--//t.co/V3OFq7GkA1,No,Yes,No,100,10,No,,,,40,90,40,Man,39,No,94
"just got banned from a Discord server for linking https--//t.co/IUecOgFRZD because it had ""discord-nitro"" in the URL lol",Yes,Yes,No,59,65,No,,,,63,71,17,Man,30,Yes,95
I’d rather have no village at all rather than a damaging village..,No,No,,,,No,,,,,,17,Man,30,Yes,95
Cc-- to whom it may concern 🤭🤭🤭 https--//t.co/DS6R6cfEi7,No,No,,,,No,,,,,,17,Man,30,Yes,95
@GOPLeader Republicans beat the living shit out of capital police and refused to bring in national guard and additional police to protect them all while trying to destroy our democracy via a well thought out plan of insurrection.,No,No,,,,No,,,,,,17,Man,30,Yes,95
"@CantillonCH The collapse of Thatcher's Britain is upon us, followed by the Lisbon Treaty EU. At least the UK is free. France and Germany will spend the next decade fighting over the wreckage of the EU.",No,Yes,No,64,62,No,,,,74,65,17,Man,30,Yes,95
They’ll be drowning in greed until their demise,No,No,,,,No,,,,,,17,Man,30,Yes,95
me when im about to DESTROY the rabid left's (my victims') pathetic (successful) attempts to silence me (hold me accountable for my crimes)-- https--//t.co/5PeyI0Se5z,No,No,,,,No,,,,,,17,Man,30,Yes,95
$amc  is set and ready for a run up..~ https--//t.co/awTrtCeCLM,No,No,,,,No,,,,,,17,Man,30,Yes,95
I think Arohi might get pregnant rember in hospi her Frnd was preg she was Jealous & Fly forced 2 do their weding😡 #Yrkkh Neil like puppet in Aru hands he listns 2evthing she says & here Abhi Q’s e’thingAkshu does 😡Aru needs2 apologize 2Akshu or difficult 2accept her #AbhiRa ❤️,No,No,,,,No,,,,,,17,Man,30,Yes,95
@DarrinZiliak @HarrisonKrank @JohnFetterman Real violence versus made up anger? Yeah...,No,No,,,,No,,,,,,17,Man,30,Yes,95
I don’t know if there’s such a thing as a political hard-on… but if there is… 👇 Liz Truss has done more damage in 42 days as PM than Boris Johnson and Partygate did across 8 months…  If it turned out she was trying to be awful then she’s an evil genius 🔥 https--//t.co/L7jvjvx2v7,No,No,,,,Yes,No,99,100,100,0,81,Woman,32,Yes,96
Beautiful but aren't a concern. For some ؟? نمشے  🔹H3🔹 🔹H3🔹 🔹H3🔹,No,No,,,,No,,,,,,81,Woman,32,Yes,96
@SenTedCruz What have you done in your whole grifting gooch-sniffing career?  You fled in a crisis.   You chose fealty to Donald Trump over your Wife.  You have voted NO to all bills that help average Americans.   You attended an NRA Event to get your paycheck days after the Uvalde shooting. https--//t.co/ZyTU4oy8bZ,No,No,,,,No,,,,,,81,Woman,32,Yes,96
"@Synyster63 @Trumpcrazytrain @Trumpster20 @TeekeeMon @DigiMalice @EducatingTrump2 @missled2u @Blueresin1 @TruByte @RickeyH64219156 @AngryFleas @TastyMorsel6 @KleeOntheRight @TrumpLOST5 @NewfMom29 @CRogers1973 @Sean_1356 @Missy8008135 @Aimhighffw @Saggit95 @LordButters22 @SAperaita @Mickmazzo @tip_ct @DV652 @PatienceTryer @DrMaxwellEdiso1 @Melissa_W_J @PattyMitcheII @simontalks12 @MmmGarmonbozia @Jay_see_see @Thumper18560818 @newport1591 @TommyJD5150 @Area51Stargazer @Caperloo5 @GortKlaatuBara7 @johnmor49451893 @antiLibmob @URANOGO1 @Sofie_Z1 @uffner_carmen @RushvilleRockit @o_cleofas @captjay2008 @JBCtheSecond @rjdkmd @tabykatt_ @JenCages Israel is in absolutely no danger of falling. They are a nuclear armed Nation with a badass military. Notwithstanding, they're a huge strategic Ally of ours. Religion has nothing to do with it.",No,No,,,,Yes,No,100,100,7,1,81,Woman,32,Yes,96
And primordial impossible circumstances one faces. Procrastination is a sacred https--//t.co/6Sk83ppNta,No,No,,,,No,,,,,,81,Woman,32,Yes,96
@FibromyalgiaDad @BassedLow @RizomaSchool @grahamcclark1 @KangJesseJames @zerowing0 @Partisan_O @volvicstorm98 Albums ruined popular American music and rock and roll and you can blame the Beatles if you want. I do. This didn’t end with the 90’s. That stuff was already eulogizing something that died. It’s not a mistake the Ramones sounded like a Doo wop band or Danzig sang like that.,No,No,,,,No,,,,,,81,Woman,32,Yes,96
@LouisatheLast I also feel like they’re clinging to this time where “wokism” didn’t exist & there were no trans people & yidn didn’t run the banks & Black people didn’t get shot by police…aka a time pre-social media when they didn’t have to face their privilege daily by being made aware.,No,No,,,,No,,,,,,81,Woman,32,Yes,96
@bokoromonio Death Test 💔😑but atleast I'm at 5,No,No,,,,No,,,,,,81,Woman,32,Yes,96
"@Towelexander Heck yeah, bleed damage from her goes hard too, helps me stay alive",No,No,,,,Yes,No,90,80,0,0,81,Woman,32,Yes,96
"@KariLakeWarRoom @kelliwardaz @katiehobbs @DanaBashCNN Dad said that in the future, the big issues will be the protection of the one citizen one vote, and bio-logical warfare. We the People already saw the bio attack. Now We get to see how they muddle up the next election so no one will ever trust the final results. Dad died in 1989.",No,No,,,,No,,,,,,81,Woman,32,Yes,96
How on earth do you do construction on the road to a hospital and not post clear detour instructions? Why doesn’t Google maps know? Shouldn’t the ambulance drivers have known and gone elsewhere? Thank God not a life or death thing @MedStarGUH #gridlock @dcfireems,No,Yes,No,100,35,No,,,,0,95,71,Man,26,No,97
"Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer. They are also a great source of vitamin C, potassium, folate, and vitamin K.",No,No,,,,Yes,Yes,100,100,0,0,71,Man,26,No,97
"@JohnHMcWhorter No apology needed, John. You merely called a spade a spade. Empty Suit Man @DrIbram is a disgrace to academia & is doing serious damage to race relations. You have every right to smack that nonsense down.",No,Yes,No,92,66,No,,,,100,5,71,Man,26,No,97
@omark6 @TheTNHoller Unless we have an economic collapse that is not going to happen. Investing in the Preds and the titans in 98 is why Broadway is what it is and why Nashville is what it is. I mean you can long for the days of pornshops and empty buildings downtown but I do not and I will not,No,No,,,,No,,,,,,71,Man,26,No,97
Difficult to choose.. kotal khan https--//t.co/VFzndJqPsq,Yes,No,,,,No,,,,,,71,Man,26,No,97
"shaun of the dead (2004) dir. edgar wright  ""who died and made you fucking king of the zombies?"" https--//t.co/kgxJlnbFKp",Yes,No,,,,No,,,,,,71,Man,26,No,97
"When your boy shoots you in the head with an unloaded Nerf gun, you act out your death in a way that's so realistic it freaks your wife out.  I don't make the rules.",Yes,No,,,,No,,,,,,71,Man,26,No,97
@BrincoBrinco I work with a lot of younger people in my other Clinical job... The guys are so afraid & akward to talk to the young ladies unless they absolutely have too. I'm considered the fossil & older than some of there parents.,No,No,,,,No,,,,,,71,Man,26,No,97
$GNG Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,No,No,,,,No,,,,,,71,Man,26,No,97
@aegyubeom i hope it’s yuta i want to see ncity in chaos,No,No,,,,No,,,,,,86,Man,32,Yes,98
"@HantsPolRoads At what point can the police put together a brief that lets govt know how popular these have become, what time wasters they are, how dangerous they are, and that they need these banned and checked as part of MOT process?",No,No,,,,Yes,Yes,59,71,72,61,86,Man,32,Yes,98
$veru  is set and ready for a run up..~  https--//t.co/awTrtCeCLM,No,No,,,,No,,,,,,86,Man,32,Yes,98
🕒#Blackfriars Disruption is now expected until 20--00.,No,Yes,No,58,77,No,,,,57,50,86,Man,32,Yes,98
$DDOG Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/6Zcay8h2VH,No,Yes,No,62,54,No,,,,30,58,86,Man,32,Yes,98
@_queerauntie Looks like they couldn't take the consequences of their tweets.,No,No,,,,Yes,No,38,54,29,46,86,Man,32,Yes,98
